FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
sur la perte de sa femme bien-aimée.,MOI PERDRE MA FEMME,PERTE FEMME BIEN-AIMER ,['Past'],,for the loss of his dearest wife.
Le malheureux erra ainsi pendant quelques années jusqu’à ce que finalement,ERRER LONGTEMPS QUAND,AINSI FINALEMENT MALHEUREUX ANNEES ERRER ,['Fut'],,So he wandered several years in misery until at last
"il arriva à l'endroit désert où vivait Raiponce avec les deux enfants qu'elle avait mis au monde,",LUI ARRIVER LIEU VIDE LA VIVRE RAIPONCE AVEC DEUX ENFANT ELLE NAITRE,DEUX ENDROIT RAIPONCE ENFANTS MONDE ARRIVER DESERT VIVRE METTRE ,['Pres']['Past']['Imp']['Imp']['Past'],,"he came to the desert place where Rapunzel lived with her twin-children that she had borne,"
un garçon et une fille.,GARCON FILLE,GARCON FILLE ,<unk>,,a boy and a girl.
"Il avait entendu une voix qu'il lui sembla connaître,",LUI ENTENDRE VOIX CONNAITRE,VOIX SEMBLA ENTENDRE CONNAITRE ,['Imp']['Past'],,"At first he heard a voice that he thought he knew,"
"et tout en tâtonnant, il s'avança vers elle. Raiponce le reconnut alors",TATONNER MARCHER RAIPONCE RECONNAITRE LUI,TATONNER AVANCER ALORS RAIPONCE RECONNUT ,['Pres'],,"and when he reached the place from which it seemed to come Rapunzel knew him,"
et lui sauta au cou en pleurant.,COURIR EMBRASSER,SAUTA COU PLEURER ,['Pres'],,and fell on his neck and wept.
"Deux de ses larmes ayant touché ses yeux, ",RAIPONCE PLEURER LARMES TOMBER FILS ROI YEUX,LARMES YEUX TOUCHER ,['Pres']['Past'],,"And when her tears touched his eyes they became clear again,"
"le fils de roi recouvra complètement la vue,",SOIGNER YEUX RETROUVER VUE,COMPLETEMENT FILS ROI VUE RECOUVRER ,['Fut'],,and he could see with them as well as ever.
"et il ramena sa bien-aimée dans son royaume,",LUI RAMENER ROYAUME,BIEN-AIMEE ROYAUME RAMENER ,['Past'],,"Then he took her to his kingdom,"
où ils furent accueillis avec des transports de joie,PERSONNE ACCUEILLIR CONTENT,TRANSPORTS JOIE ACCUEILLIR ,['Past']['Past'],,"where he was received with great joy,"
"et vécurent heureux désormais pendant de longues, longues années de bonheur.",TOUS LES DEUX VIVRE HEUREUX LONGTEMPS,DESORMAIS VECURENT HEUREUX LONGUES LONGUES ANNEES BONHEUR ,<unk>,,and there they lived long and happily.
